method,metric,variant,unit,samples,p50,p95,p99,mean,min,max,value
A,token_request_latency,issue_only,ms,100,11.106,20.520,23.228,12.244,6.824,27.462,
A,access_token_size,x5t#S256,bytes,1,,,,,,,1017.000
A,resource_request_latency,local,ms,300,1.971,3.471,6.627,2.240,1.613,12.196,
A,resource_throughput,local,req/s,1,,,,,,,1117.580
A,resource_errors_during_throughput,local,count,1,,,,,,,0.000
A,resource_request_latency,introspection,ms,300,11.882,23.613,50.195,13.887,6.460,130.605,
A,resource_throughput,introspection,req/s,1,,,,,,,186.835
A,resource_errors_during_throughput,introspection,count,1,,,,,,,0.000
B,token_request_latency,issue_only,ms,100,8.552,14.827,23.291,9.492,4.952,24.051,
B,token_request_latency,rotate_then_issue,ms,30,34.850,49.417,54.507,35.087,25.268,54.507,
B,rotation_keygen_latency,EC-P256,ms,30,0.059,0.099,0.139,0.062,0.032,0.139,
B,rotation_ca_roundtrip_latency,csr_to_certificate,ms,30,9.356,14.473,14.562,10.092,7.218,14.562,
B,rotation_total_latency,keygen_plus_ca,ms,30,9.488,14.594,14.879,10.263,7.347,14.879,
B,rotations_per_hour,cert_lifetime=5m0s,count,1,,,,,,,15.000
B,rotation_ca_cost_per_hour,cert_lifetime=5m0s,ms,1,,,,,,,153.950
B,rotations_per_hour,cert_lifetime=15m0s,count,1,,,,,,,5.000
B,rotation_ca_cost_per_hour,cert_lifetime=15m0s,ms,1,,,,,,,51.317
B,rotations_per_hour,cert_lifetime=1h0m0s,count,1,,,,,,,1.250
B,rotation_ca_cost_per_hour,cert_lifetime=1h0m0s,ms,1,,,,,,,12.829
B,rotations_per_hour,cert_lifetime=24h0m0s,count,1,,,,,,,0.052
B,rotation_ca_cost_per_hour,cert_lifetime=24h0m0s,ms,1,,,,,,,0.535
B,access_token_size,x5t#S256,bytes,1,,,,,,,1019.000
B,resource_request_latency,local,ms,300,2.235,3.930,4.913,2.465,1.655,8.114,
B,resource_throughput,local,req/s,1,,,,,,,1053.851
B,resource_errors_during_throughput,local,count,1,,,,,,,0.000
B,resource_request_latency,introspection,ms,300,14.167,35.372,61.333,17.649,6.131,133.672,
B,resource_throughput,introspection,req/s,1,,,,,,,146.529
B,resource_errors_during_throughput,introspection,count,1,,,,,,,0.000
C,token_request_latency,issue_only,ms,100,14.540,24.163,26.331,16.306,9.119,99.620,
C,access_token_size,jkt,bytes,1,,,,,,,997.000
C,dpop_proof_size,token_request,bytes,1,,,,,,,530.000
C,dpop_proof_size,resource_request_with_ath,bytes,1,,,,,,,556.000
C,resource_request_latency,local,ms,300,0.616,1.943,3.699,0.854,0.399,5.411,
C,resource_throughput,local,req/s,1,,,,,,,2685.886
C,resource_errors_during_throughput,local,count,1,,,,,,,0.000
C,resource_request_latency,introspection,ms,300,6.874,12.252,19.165,7.440,3.485,24.546,
C,resource_throughput,introspection,req/s,1,,,,,,,257.482
C,resource_errors_during_throughput,introspection,count,1,,,,,,,0.000
